ID_VERSION,APLICACION
1,Orty
2,Orty
3,Orty
4,Orty
5,Orty
1,Mettcal
2,Mettcal
3,Mettcal
1,Sist
2,Sist
3,Sist
4,Sist
5,Sist
6,Sist
7,Sist
8,Sist
9,Sist
10,Sist
11,Sist
12,Sist
13,Sist
14,Sist
15,Sist
16,Sist
17,Sist
18,Sist
1,Yalp
2,Yalp
1,Shost
2,Shost
3,Shost
4,Shost
5,Shost
6,Shost
1,Koob
1,Solaplay
2,Solaplay
3,Solaplay
4,Solaplay
5,Solaplay
6,Solaplay
7,Solaplay
1,OrTravel
2,OrTravel
3,OrTravel
4,OrTravel
5,OrTravel
6,OrTravel
7,OrTravel
8,OrTravel
9,OrTravel
10,OrTravel
11,OrTravel
12,OrTravel
13,OrTravel
14,OrTravel
15,OrTravel
16,OrTravel
17,OrTravel
1,Solo Mobile
2,Solo Mobile
1,Fdeam
2,Fdeam
3,Fdeam
4,Fdeam
5,Fdeam
6,Fdeam
7,Fdeam
8,Fdeam
9,Fdeam
10,Fdeam
