ID,direccion,localidad
1,Walnut Alley,Nashville
2,Bellenden   Vale,Murfreesboro
3,Adams  Hill,Louisville
4,Balfe   Drive,Jersey City
5,Canning  Tunnel,Arlington
6,Sheringham   Pass,Moreno Valley
7,York Rue,Norfolk
8,Zealand Vale,Norfolk
9,Blanchard  Lane,Charlotte
10,Blean   Crossroad,Quebec
11,Jackson Grove,Washington
12,Cavell   Way,Rochester
13,Fairfield  Crossroad,Innsbruck
14,King Edward  Alley,Escondido
15,Camelot   Boulevard,Fayetteville
16,Cloth  Hill,Boston
17,Elba  Avenue,Portland
18,Garfield Tunnel,Fullerton
19,Edwin   Lane,Garland
20,Bell    Hill,San Antonio
21,Bethwin  Pass,Indianapolis
22,Coborn  Rue,San Diego
23,Victorian  Crossroad,Tulsa
24,Ashley Walk,San Diego
25,Timber   Avenue,Omaha
26,Coleman  Street,Madrid
27,Aberavon  Drive,Glendale
28,English   Avenue,Ontario
29,Ampton  Way,Tallahassee
30,Mariner   Rue,Valetta
31,Earl Rise Tunnel,Charlotte
32,Bocking   Route,Madrid
33,Thorndike   Pass,Stockton
34,Buttonwood Grove,Lakewood
35,Apollo  Way,Houston
36,Hamilton  Avenue,Fullerton
37,Bazely   Tunnel,Kansas City
38,Queensberry  Vale,Hayward
39,Chestnut Rise Way,Lisbon
40,Caslon   Road,Houston
41,Clerkenwell Pass,Berna
42,Rivervalley Street,Baltimore
43,Blanchard  Avenue,Indianapolis
44,Westbourne Grove,Hollywood
45,Besson  Pass,Madison
46,Balfe   Hill,San Diego
47,Carltoun   Alley,Detroit
48,Marischal  Alley,Minneapolis
49,Falconberg   Boulevard,Minneapolis
50,Cam  Vale,Albuquerque
