agencia,cliente
1,1
2,2
3,3
4,4
5,5
6,6
7,7
8,8
9,9
10,10
11,11
12,12
13,13
14,14
15,15
16,16
17,17
18,18
19,19
20,20
21,21
22,22
23,23
24,24
25,25
26,26
27,27
28,28
29,29
30,30
1,31
2,32
3,33
4,34
5,35
6,36
7,37
8,38
9,39
10,40
11,41
12,42
13,43
14,44
15,45
16,46
17,47
18,48
19,49
20,50
21,51
22,52
23,53
24,54
25,55
26,56
27,57
28,58
29,59
30,60
10,61
11,62
12,63
13,64
14,65
15,66
16,67
17,68
18,69
19,70
20,71
10,72
11,73
12,74
13,75
14,76
15,77
1,78
2,79
3,80
4,81
5,82
20,83
21,84
22,85
23,86
24,87
25,88
26,89
27,90
28,91
29,92
30,93
14,94
15,95
16,96
17,97
18,98
14,99
15,100
16,101
17,102
18,103
20,104
21,105
22,106
23,107
24,108
25,109
26,110
27,111
28,112
29,113
30,114
5,115
6,116
7,117
8,118
9,119
10,120
5,121
6,122
7,123
8,124
9,125
10,126
20,127
21,128
22,129
23,130
24,131
25,132
26,133
27,134
28,135
29,136
30,137
25,138
26,139
27,140
28,141
29,142
30,143
18,144
19,145
20,146
10,147
11,148
12,149
13,150
14,151
15,152
10,153
11,154
12,155
13,156
14,157
15,158
16,159
17,160
18,161
19,162
20,163
10,164
11,165
12,166
13,167
14,168
15,169
16,170
17,171
18,172
19,173
20,174
15,175
16,176
17,177
18,178
19,179
20,180
15,181
16,182
17,183
18,184
19,185
20,186
1,187
2,188
3,189
4,190
5,191
15,192
16,193
17,194
18,195
19,196
20,197
15,198
16,199
17,200
