cliente,hotel,fecha_entrada,fecha_salida
1,1,2022/03/01,2022/03/05
2,2,2022/03/01,2022/03/07
3,3,2022/03/02,2022/03/08
4,4,2022/03/03,2022/03/09
5,5,2022/03/01,2022/03/07
6,6,2022/03/05,2022/03/07
7,7,2022/03/06,2022/03/08
8,8,2022/03/07,2022/03/10
9,9,2022/03/08,2022/03/19
10,10,2022/03/01,2022/03/06
11,1,2022/03/08,2022/03/10
1,1,2022/03/28,2022/04/09
12,2,2022/03/08,2022/03/19
13,3,2022/03/09,2022/03/10
14,4,2022/03/10,2022/03/21
15,5,2022/03/11,2022/03/13
15,5,2022/04/01,2022/04/12
16,6,2022/04/01,2022/04/13
17,7,2022/04/03,2022/04/10
18,8,2022/03/01,2022/03/06
18,8,2022/04/13,2022/04/17
19,9,2022/03/09,2022/03/23
20,10,2022/03/28,2022/03/31
21,11,2022/03/18,2022/03/22
22,12,2022/03/13,2022/03/15
23,13,2022/03/16,2022/03/21
24,14,2022/03/26,2022/04/02
25,15,2022/04/05,2022/04/19
26,16,2022/04/01,2022/04/05
27,17,2022/03/11,2022/03/15
1,1,2022/05/03,2022/05/09
28,18,2022/04/05,2022/05/16
29,19,2022/05/16,2022/05/19
30,20,2022/03/24,2022/05/28
31,30,2022/03/16,2022/03/24
32,31,2022/03/30,2022/03/31
33,32,2022/03/31,2022/04/01
34,33,2022/03/03,2022/04/07
35,34,2022/03/16,2022/03/21
36,35,2022/04/03,2022/04/05
37,36,2022/04/03,2022/04/06
38,37,2022/04/01,2022/04/12
39,38,2022/04/09,2022/04/10
40,39,2022/04/07,2022/04/08
41,40,2022/04/12,2022/04/14
42,20,2022/04/17,2022/04/30
43,21,2022/04/19,2022/04/26
44,22,2022/04/11,2022/04/24
45,23,2022/04/12,2022/04/25
46,24,2022/03/17,2022/03/21
47,25,2022/04/14,2022/04/27
48,26,2022/03/07,2022/04/19
49,27,2022/03/05,2022/03/10
50,28,2022/03/18,2022/03/25
51,29,2022/03/07,2022/03/12
52,30,2022/03/26,2022/03/31
53,31,2022/03/11,2022/03/14
54,32,2022/03/26,2022/03/30
55,33,2022/03/30,2022/03/31
56,34,2022/03/17,2022/03/21
57,35,2022/04/14,2022/04/27
58,36,2022/03/07,2022/04/19
59,37,2022/03/05,2022/03/10
60,38,2022/03/18,2022/03/25
61,39,2022/03/05,2022/03/10
62,40,2022/03/18,2022/03/25
63,41,2022/03/07,2022/03/12
64,42,2022/03/26,2022/03/31
65,43,2022/04/03,2022/04/05
66,44,2022/04/03,2022/04/06
67,45,2022/04/01,2022/04/12
68,46,2022/04/09,2022/04/10
69,47,2022/03/01,2022/03/05
70,48,2022/03/01,2022/03/07
71,49,2022/03/02,2022/03/08
72,50,2022/03/03,2022/03/09
73,51,2022/03/01,2022/03/07
74,52,2022/03/02,2022/03/08
75,53,2022/05/16,2022/05/19
76,54,2022/05/17,2022/05/23
77,55,2022/05/18,2022/05/24
78,56,2022/03/03,2022/03/09
79,57,2022/03/01,2022/03/07
80,58,2022/03/02,2022/03/08
81,59,2022/05/16,2022/05/19
82,60,2022/05/17,2022/05/23
83,61,2022/05/18,2022/05/24
84,62,2022/04/19,2022/04/26
85,63,2022/04/11,2022/04/24
86,64,2022/04/12,2022/04/25
87,65,2022/03/17,2022/03/21
88,66,2022/04/14,2022/04/27
89,67,2022/03/07,2022/04/19
90,68,2022/05/16,2022/05/31
91,69,2022/05/17,2022/05/23
92,70,2022/05/18,2022/05/24
93,71,2022/05/24,2022/05/26
94,72,2022/05/17,2022/05/23
95,73,2022/05/18,2022/05/24
96,74,2022/04/14,2022/04/27
97,75,2022/03/07,2022/04/19
98,76,2022/05/16,2022/05/31
99,77,2022/05/17,2022/05/23
100,78,2022/05/18,2022/05/24
101,79,2022/05/24,2022/05/26
102,80,2022/05/17,2022/05/23
103,81,2022/05/18,2022/05/24
104,82,2022/05/16,2022/05/31
105,83,2022/05/17,2022/05/23
106,84,2022/05/18,2022/05/24
107,85,2022/05/24,2022/05/26
108,86,2022/05/17,2022/05/23
109,87,2022/05/18,2022/05/24
110,88,2022/03/24,2022/05/28
111,89,2022/03/16,2022/03/24
112,90,2022/03/30,2022/03/31
113,91,2022/03/31,2022/04/01
114,92,2022/03/03,2022/04/07
115,93,2022/03/16,2022/03/21
116,94,2022/04/03,2022/04/05
117,95,2022/03/01,2022/03/06
118,96,2022/04/13,2022/04/17
119,97,2022/03/09,2022/03/23
120,98,2022/03/28,2022/03/31
121,99,2022/03/18,2022/03/22
122,100,2022/03/13,2022/03/15
123,96,2022/03/16,2022/03/21
124,97,2022/03/26,2022/04/02
125,98,2022/04/05,2022/04/19
126,99,2022/03/01,2022/03/05
127,100,2022/03/01,2022/03/07
128,65,2022/03/02,2022/03/08
129,66,2022/03/03,2022/03/09
130,67,2022/03/01,2022/03/07
131,68,2022/03/05,2022/03/07
132,69,2022/03/06,2022/03/08
133,70,2022/03/07,2022/03/10
134,38,2022/03/08,2022/03/19
135,39,2022/05/01,2022/05/04
136,40,2022/05/05,2022/05/09
137,20,2022/05/08,2022/05/11
138,21,2022/05/24,2022/05/26
139,22,2022/03/10,2022/03/22
140,23,2022/03/01,2022/03/07
141,5,2022/03/22,2022/03/27
143,7,2022/03/07,2022/04/19
143,7,2022/04/26,2022/04/27
143,7,2022/04/30,2022/05/04
143,7,2022/06/16,2022/06/22
142,6,2022/03/06,2022/03/14
143,7,2022/08/09,2022/08/17
144,8,2022/05/16,2022/05/31
145,9,2022/05/17,2022/05/23
146,10,2022/05/18,2022/05/24
147,60,2022/03/07,2022/04/19
148,61,2022/04/26,2022/04/27
149,62,2022/04/30,2022/05/04
150,63,2022/06/16,2022/06/22
151,64,2022/03/06,2022/03/14
152,65,2022/08/09,2022/08/17
153,66,2022/05/16,2022/05/31
154,67,2022/05/17,2022/05/23
155,68,2022/05/18,2022/05/24
156,69,2022/03/05,2022/03/10
157,70,2022/03/18,2022/03/25
158,40,2022/03/05,2022/03/10
159,41,2022/03/18,2022/03/25
160,42,2022/03/07,2022/03/12
161,43,2022/03/26,2022/03/31
162,44,2022/04/03,2022/04/05
163,45,2022/04/03,2022/04/06
164,46,2022/04/01,2022/04/12
165,47,2022/03/01,2022/03/07
166,48,2022/03/22,2022/03/27
167,49,2022/03/07,2022/04/19
168,50,2022/04/26,2022/04/27
169,90,2022/04/30,2022/05/04
170,91,2022/06/16,2022/06/22
171,92,2022/03/06,2022/03/14
172,93,2022/08/09,2022/08/17
173,94,2022/03/07,2022/04/19
174,95,2022/05/16,2022/05/31
175,96,2022/05/17,2022/05/23
176,97,2022/05/18,2022/05/24
177,98,2022/05/24,2022/05/26
178,99,2022/05/17,2022/05/23
179,100,2022/05/18,2022/05/24
180,20,2022/04/14,2022/04/27
181,21,2022/03/07,2022/04/19
182,22,2022/05/16,2022/05/31
183,23,2022/03/01,2022/03/07
184,24,2022/03/02,2022/03/08
185,25,2022/05/16,2022/05/19
186,26,2022/05/17,2022/05/23
187,27,2022/05/18,2022/05/24
188,28,2022/03/03,2022/03/09
189,29,2022/03/01,2022/03/07
190,30,2022/03/02,2022/03/08
191,40,2022/05/16,2022/05/19
192,41,2022/05/17,2022/05/23
193,42,2022/04/01,2022/04/12
194,43,2022/03/01,2022/03/07
195,44,2022/03/22,2022/03/27
196,45,2022/03/07,2022/04/19
197,46,2022/04/26,2022/04/27
198,47,2022/04/30,2022/05/04
199,48,2022/06/16,2022/06/22
200,49,2022/03/06,2022/03/14
