ID,nombre,direccion,telefono,plazas_disponibles
1,Hotel Realeza,"Blandford  Road, 421864658",651184126,396
2,Glamho Hotel,"Woodland Vale, 764234352",614198597,283
3,Passarela Hotel,"Camberwell  Rue, 433283329",659989124,188
4,OZ Resort,"Bales  Pass, 1299791545",628216320,11
5,Queen Hotel,"Burton Way, 1349224960",611965352,132
6,Hotel El Bosque,"Chart Vale, 350363112",687560286,88
7,Tea Tree Hotel,"King Crossroad, 1636614298",653913486,250
8,Candel Resort,"Wadham  Way, 1240768427",639466178,227
9,EcoTel,"Maple Grove, 979641190",675771379,355
10,Trufa Blanca Hotel,"Bolton  Way, 36154226",646788500,93
11,La cabaña Resort,"Howard Pass, 1710537899",614030304,122
12,Posada el Manantial,"Epworth  Boulevard, 955403759",619877306,244
13,Hotel Verano Azul,"Marischal  Pass, 276887807",641489688,160
14, Luxury Collection Resorts,"Chamberlain  Lane, 49172291",639504718,39
15,Marriott Hotel,"Balfour    Alley, 501885829",698368426,153
16,Hotel Regency,"Bond Avenue, 1340500471",636244377,200
17,Hilton Walt Disney World,"Walnut Pass, 630505725",699264695,67
18,Mandarin Oriental,"Bicknell  Walk, 1755255574",684154321,137
19,Four Seasons Hotel,"Catherine  Alley, 411224604",658846893,126
20,Residence Inn by Marriott,"Charnwood   Way, 1317953592",689425910,152
21,Clarion Hotel and Casino,"Bel   Tunnel, 2016662210",681859339,85
22,Continental Hotel,"Abbey   Road, 472852719",621631249,8
23,Cosmopolitan of Las Vegas,"Queensberry  Vale, 1535599727",677881620,242
24,Waldorf Astoria Hotels,"Antrobus   Lane, 1575071729",606503451,373
25,Ritz Plaza Hotel,"Udall   Route, 436489994",627462330,394
26,W Hotel,"Tilloch   Avenue, 770073119",606557705,256
27,Yosemite Lodge at the Falls,"Underwood  Drive, 1307046491",672606493,340
28,St Regis Hotels,"Blackpool  Crossroad, 117797733",652864310,181
29,Hyatt,"Earl Rise Way, 79678461",633535837,323
30,DuPont Plaza Hotel,"Victoria Rise Tunnel, 663789565",663020812,153
31,Antlers Hilton Hotel,"Blackall   Pass, 139412740",636372204,366
32,The Stanley Hotel,"Underwood  Alley, 1110058625",678860193,189
33,Hotel Bond,"Beatty  Route, 143285426",643937267,46
34,Hollywood Plaza Hotel,"Baltic  Lane, 2027184326",604429091,256
35,Fort Harrison Hotel,"Pine Drive, 1482265794",689552763,228
36,Ahwahnee Hotel,"Collins  Rue, 1258346057",679370809,335
37,Belmond,"Bazely   Hill, 1968831883",653336670,89
38,Hoteles Rosewood & Resorts,"Cobden  Crossroad, 266575712",640014277,266
39,Aman Resorts,"Western   Road, 364724556",621016497,150
40,The Peninsula Chicago,"Bennett  Crossroad, 162561267",667719213,217
41,Ritz-Carlton Hotel,"Edwin   Route, 1069845379",616207395,68
42,Hotel National Exchange,"Blore  Crossroad, 1118454279",693139310,84
43,Hotel Ace,"Coley  Pass, 1464108299",655946439,160
44,Escapada 5 Estrellas,"Belmore  Grove, 639751135",623974492,199
45,Land’s End Resort,"Westbourne Route, 641245468",610834604,369
46,Hotel Sol y Arena,"Ellerslie Hill, 86768981",696294482,280
47,The Better Inn,"Blackall   Avenue, 1448883460",632510944,139
48,Hotel Country Charm,"Thoresby   Grove, 1814597671",663805169,11
49,Hotel Blue Moon,"Apollo  Boulevard, 948125942",628152627,165
50,Bedrock N Roll,"Virginia Way, 1953228441",698238606,390
51,Hotel Palace,"Blake  Drive, 2047101703",652653127,348
52,Hotel Sunset Plains,"Bolton  Street, 39813186",686611784,269
53,Hotel Secluded Hill,"Aylward   Lane, 150486603",650828211,124
54,Green Lushy Hotels,"Bendall   Hill, 814247814",664306743,125
55,Soft Petal Hotel,"Bellenden  Walk, 297140500",691526807,122
56,Hotel Sunset Plains,"Chester      Lane, 1079981527",691065460,329
57,Hotel Moss View,"Chart   Route, 1273861034",618673932,58
58,Hotel Red Velvet,"Cadogan  Lane, 1370854921",651924915,64
59,Hotel Burj Al Arab,"Coborn  Vale, 604369498",687530835,124
60,Rio All Suite Hotel,"Camdenhurst   Crossroad, 1353223327",634198667,389
61,Maingate Lakeside Resort,"Birkenhead   Hill, 1958922299",690793447,384
62,Luxor Hotel,"Fieldstone Street, 244373829",666358167,268
63,The Peabody Menphis,"Thorndike   Avenue, 859588994",657030854,2
64,Excalibur Hotel,"Lake Road, 1322982174",666325119,344
65,Hotel Mimosa,"Waldram Park  Road, 1272106479",607277845,210
66,Blue Fish Inn,"West Avenue, 922106867",649953011,266
67,Capital Hotel,"Monroe Pass, 2082459093",686916614,39
68,Chamberlin Inn,"Bury  Route, 1021690206",637449127,173
69,Hotel Hive,"Adams  Walk, 1828115777",624735671,147
70,Pocono Palace Resort,"Lake Crossroad, 1537397209",675288054,31
71,Hampton Inn & Suites,"Blean   Boulevard, 1466827252",614646123,354
72,Homewood Suites,"Lake Drive, 1754955205",682972042,269
73,Global Print,"Marischal  Alley, 2004969155",666284721,120
74,WoodSpring Suites,"Blue Anchor  Grove, 1281076729",676486855,17
75,The Opposite House,"Chicksand  Avenue, 269103549",648917708,8
76,Grace Hotel,"South Vale, 1396510364",604053003,276
77,Kamalame Cay,"Apostle  Street, 1082864592",629823117,358
78,The Temple House,"Chatsworth  Street, 302611367",657427338,333
79,Hotel Paracas,"Besson  Walk, 1191208175",624717876,27
80,Taj Holiday Village Resort,"Buttonwood Grove, 652069900",697182275,12
81,Mandarin Oriental,"Blore  Drive, 1974788521",600698764,390
82,La Réserve Paris Hotel,"Under  Route, 883475033",618031050,157
83,Hotel Fasano Boa Vista,"Becher  Route, 1197741121",610380282,301
84,Boeing,"Walnut Hill, 1491864136",685998878,193
85,Nayara Gardens,"Balfe   Way, 159884244",602622204,283
86,Rancho Valencia Resort,"Dunstans  Boulevard, 396101597",614601050,98
87,Taj Palace,"Castle Road, 483311512",661104700,379
88,St Regis Hotels,"Spruce Crossroad, 906391240",646762748,113
89,Augusta Eco Wallnes Resort,"Cavell   Street, 1411686015",646084444,160
90,Urban Hotel GL,"Emden   Street, 1086137988",671239734,300
91,Royal Hideaway Sancti Petri,"Angela   Way, 1427322971",613099974,292
92,Hotel Marqués de Riscal,"Adderley   Walk, 299163988",664917475,212
93,La Finca Resort,"Collins  Drive, 1276063163",623294945,2
94,AR Diamante Beach Spa,"Bethwin  Walk, 697443548",639044446,383
95,Las Colinas Hotel,"Clere  Drive, 1925931322",669581745,192
96,A Belmond Hotel,"Baynes  Crossroad, 540821642",685746128,62
97,Barceló Isla Canela,"Black Swan  Pass, 205379201",632774070,226
98,Asia Gardens Hotel,"Lonsdale  Grove, 1499372026",690608626,337
99,W Barcelona,"Gathorne   Grove, 399783900",684943653,370
100,Hilton Diagonal Mar,"Caedmon  Alley, 1375681355",618560160,203
