"EMPLEADO","ITINERARIO","HORA_ITINERARIO"
1,1,"06:17:04"
2,2,"10:20:10"
3,3,"20:01:22"
4,4,"01:27:11"
5,5,"10:12:12"
6,6,"19:23:10"
7,7,"09:25:10"
8,8,"10:24:04"
9,9,"09:03:03"
10,10,"01:10:02"
11,1,"12:16:12"
12,2,"03:10:07"
13,3,"05:12:01"
14,4,"03:09:05"
15,5,"04:06:10"
16,6,"12:05:03"
17,7,"10:09:05"
18,8,"06:01:03"
19,9,"04:08:03"
20,10,"12:03:04"
21,1,"06:16:05"
22,2,"02:20:04"
23,3,"10:15:06"
24,4,"02:21:10"
25,5,"02:28:01"
26,6,"10:22:03"
27,7,"06:24:02"
28,8,"04:25:05"
29,9,"06:28:04"
30,10,"09:21:03"
31,1,"01:22:22"
32,2,"07:03:11"
33,3,"02:26:10"
34,4,"07:27:11"
35,5,"12:05:12"
36,6,"01:29:10"
37,7,"06:07:01"
38,8,"12:27:12"
39,9,"03:15:05"
40,10,"03:13:03"
41,1,"03:16:02"
42,2,"06:13:11"
43,3,"08:19:12"
44,4,"06:19:03"
45,5,"01:12:03"
46,6,"01:11:12"
47,7,"12:16:05"
48,8,"01:18:10"
49,9,"02:10:10"
50,10,"07:10:12"
