"id","estudios"
3,wLoMGAEC9UpqnyuZGBpwBVufvcsskde57TTS4lwpumZthAN1GMb2AkUbbIanSVcgztsUebeePACY5B8vP0mXCl5W821vKIWZK33x
6,QJJaRsF2vuZCW4oS81Fa3LsFlqetHewbd3W2pg8yR4WmWrTKckjmSzlFaDykOVvQ88jchwnb3RJ9yFt4WTRh5KInSRblrXk6JFoX
9,DyFr3bnH0Ku7xU6Kw2fadBk8gyi3cxBVKkK06xQV0FrnVSeB7il1SmKCOGLE2uoDIYwMKGN9lKkYU6mOUh54MKCiaIl0lMdFaoe7
11,dkZtcgfgeJiZLL7f21ThJ5twMwDj679rQNsZTOGrvWZ52GqgoyMkqTPh0mgqd6jgJ0I8chMnulvxfx4FFg5HvYB77KirsaOzw3vB
19,oLFseax0Eu4jUsTbKie5i0KheIMB2RlymsdnVdRLiUmjjcYocLGCVESxBhNVNw7wIG6lPqGqRTXNOk8CtijrLjdiaplxQ57wX0ac
22,aQaUaCwgZjFewgXuDcf2vFCvt86nHq5ddWW5nTdPhgmH9k7gUTe407QVNpkcGJZtolAZKcGu9QVPd4vIBZSyLBmfGBr7sBIYG2dX
31,c3BKA5jVWFFj0mkCI5n37lSksF4RCG7Bfp3XX8TgQ9XP7G7fIo2ATDH0lac4ASTQIDDLsMoJmHn8OCnmIYIXN7sciDw6gYf7qHH3
37,"7jdTbtDgbF6SlZ6Hh2qbv1Ag3q5OQervvPRlSOuQX3wzfjdAYPwpZh2Fi7ZuxzP7YLgWHVyTHaE1ELAUN5zBsBVNWLCVz9chnzbU"
45,Tsyhz1gtDYmc2rVR1ThmTX2oAyth9bdKa3yr6CTQaB45fjPtpHkNTwe60JgBI8tm4cB82nUyARMRd7IajA121Q1nZ21wfRIbRSBD
48,IWezPkewuhDPCrztMDqGXIreMzQ64bHgKdPMFqmcMhJfFH8Y3WAuWDv9o9naTi1TZgEjcnofaO309MYF12DiaXJGrPhFCMJoq0Fi
59,lwTDRTD4PppYqOkFb3y90smDw6Q5diWlZ9effpl3NYTb7YJ0hq0pu4D2JQQVCIbrTE9rtEkvR5vcZKGXxZXxsq0f5lVOYQ0F6lI2
87,Vucs19dxdoQYhPWhW0No9ehlNczU6MPJ21mPlojhRlPR6gcQ7jpSyuE1M0eYKI1RZGfqmG5rRqWXPQoqAiXXg6VIwvDuKLXJu82z
