id,matricula,fecha_nacimiento,categoria,año_fabricacion,cobertura
3,9566XXX,1996/01/01,UTILITARIO,2005/01/01,FRANQUICIA
6,7005XXX,1998/01/02,GAMA MEDIA,2006/01/02,TERCEROS
9,7984XXX,2000/01/03,LUJO,2005/01/03,TODO RIESGO
11,3623XXX,1990/01/04,GAMA MEDIA,2005/01/04,TODO RIESGO
19,3294XXX,1975/01/05,UTILITARIO,1991/01/05,FRANQUICIA
22,3155XXX,1961/01/06,LUJO,2015/01/06,TODO RIESGO
31,2164XXX,2002/01/07,UTILITARIO,2020/01/07,FRANQUICIA
32,8743XXX,1999/01/08,UTILITARIO,2005/01/08,TODO RIESGO
37,2572XXX,1990/01/09,GAMA ALTA,2006/01/09,TERCEROS
45,2702XXX,1994/01/10,GAMA ALTA,2009/01/10,TODO RIESGO
47,6545XXX,1996/01/11,UTILITARIO,2018/01/11,FRANQUICIA
48,6496XXX,1996/01/12,LUJO,2000/01/12,TODO RIESGO
