id,profesion,fecha_nacimiento,cobertura
3,ARQUITECTO/A,1970/01/01,8.85
6,PROFESOR/A,1975/01/01,71.43
9,AZAFATO/A,1976/01/01,67.04
11,PILOTO,1986/01/01,58.05
19,PROFESOR/A,1990/01/01,42.14
22,PROFESOR/A,1955/01/01,92.39
31,PILOTO,1976/01/01,71.28
32,PROFESOR/A,1955/01/01,91.09
37,OTROS,1978/01/01,52.33
45,PROFESOR/A,1979/01/01,44.33
47,PILOTO,1980/01/01,39.55
48,POLICIA,1981/01/01,91.45
59,POLICIA,1982/01/01,19.52
65,PROFESOR/A,1983/01/01,53.95
67,ARQUITECTO/A,1984/01/01,88.1
71,PILOTO,1999/01/01,7.7
73,PROFESOR/A,1990/01/01,27.65
87,DEPENDIENTE,1974/01/01,30.25
92,MECÁNICO/A,1975/01/01,11.88
94,PROFESOR/A,1989/01/01,18.59
98,OTROS,1990/01/01,2.49
